dateNote,clmNum,note,note_type,priority,author
2020-07-16 00:00:00.000000000,CLM16659908,📧 EMAIL FROM INSURANCE TO CLIENT: Theft claim CLM16659908 established. Reserve: $0.00. Need itemized list of stolen property. - Priority: High,email,Low,Client
2020-07-20 06:51:25.714285714,CLM16659908,📧 EMAIL FROM INSURANCE TO CLIENT: Theft claim CLM16659908 established. Reserve: $0.00. Need itemized list of stolen property.,email,High,Insurance Company
2020-07-24 13:42:51.428571428,CLM16659908,📧 EMAIL FROM INSURANCE TO CLIENT: Theft claim CLM16659908 established. Reserve: $0.00. Need itemized list of stolen property. - Priority: High,email,High,Insurance Company
2020-07-28 20:34:17.142857143,CLM16659908,📧 EMAIL FROM CLIENT TO ADJUSTER: Receipts and police report attached for theft claim CLM16659908. Total value: $30.76. - Follow-up required by legal,email,Low,Client
2020-08-02 03:25:42.857142857,CLM16659908,📧 EMAIL FROM ADJUSTER TO CLIENT: Need receipts and photos for stolen items in claim CLM16659908. Also need police report number. - Priority: Medium,email,Low,Lawyer
2020-08-06 10:17:08.571428571,CLM16659908,📧 EMAIL FROM ADJUSTER TO CLIENT: Need receipts and photos for stolen items in claim CLM16659908. Also need police report number.,email,Low,Lawyer
2020-08-10 17:08:34.285714286,CLM16659908,📧 EMAIL FROM CLIENT TO ADJUSTER: Receipts and police report attached for theft claim CLM16659908. Total value: $338.07. - Priority: High,email,Medium,Contractor
2020-08-15 00:00:00.000000000,CLM16659908,📧 EMAIL FROM LEGAL TO ADJUSTER: Theft coverage analysis complete for CLM16659908. Items covered under personal property endorsement. - Follow-up required by supervisor,email,High,Medical Provider
2020-08-15 00:00:00.000000000,CLM16659908,📧 EMAIL FROM LEGAL TO ADJUSTER: Theft coverage analysis complete for CLM16659908. Items covered under personal property endorsement.,email,Low,Insurance Company
2020-08-20 10:54:32.727272727,CLM16659908,📧 EMAIL FROM ADJUSTER TO LEGAL: Theft claim CLM16659908 involves high-value items. Need legal review of coverage limits.,email,Medium,Lawyer
